,age,avg_order_value,total_orders,last_purchase,is_fraudulent,email_open_rate,loyalty_score,churn_risk,customer_tenure_days,preferred_category_Electronics,preferred_category_Fashion,preferred_category_Home,preferred_category_Sports,country_Brazil,country_Canada,country_China,country_France,country_Germany,country_India,country_Japan,country_UK,country_USA,gender_Male,gender_Other
36,62,175.73,14,221,0,76.1,5,0.33,1335,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
37,19,22.72,12,166,0,66.2,71,0.05,374,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
38,42,103.97,13,253,0,44.7,83,0.09,225,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
39,30,43.35,13,56,0,19.1,33,0.08,154,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
40,75,48.94,11,5,0,2.5,85,0.14,1227,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
41,56,53.17,5,237,0,65.2,51,0.09,813,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
42,45,26.94,10,220,0,47.8,85,0.38,163,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
43,59,112.99,8,223,0,96.6,17,0.41,905,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
44,72,100.28,10,77,0,9.8,87,0.19,1642,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
45,23,66.53,9,19,0,7.3,61,0.06,1073,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
46,20,99.42,12,305,0,18.1,91,0.3,1537,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
47,75,107.61,14,264,0,37.7,31,0.25,1261,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
48,52,77.22,9,203,0,17.5,15,0.21,667,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
49,35,35.2,10,141,0,46.4,40,0.15,448,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
50,28,82.36,9,303,0,34.0,65,0.19,222,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
51,71,26.6,7,79,0,99.9,20,0.28,1760,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
52,37,99.86,13,209,0,96.7,34,0.24,4,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
53,22,93.19,9,255,0,36.5,65,0.13,1291,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
54,36,50.6,11,311,0,79.2,32,0.36,1006,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
55,39,64.39,10,39,0,24.2,22,0.4,1085,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
56,76,188.66,19,352,0,5.8,62,0.33,425,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
57,77,142.52,10,201,0,4.0,93,0.31,1447,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
58,36,93.19,12,85,0,2.9,45,0.35,857,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
59,79,78.1,16,42,0,73.6,11,0.17,291,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
60,64,29.96,10,235,0,34.2,33,0.38,754,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
61,79,25.66,12,69,0,82.4,38,0.33,1535,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
62,33,37.74,9,355,0,87.4,65,0.17,729,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
63,41,38.89,8,130,1,30.6,63,0.3,1699,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
64,58,224.56,4,131,0,28.9,38,0.07,1097,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
65,21,177.53,4,247,0,30.8,73,0.26,772,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
66,32,22.84,11,154,0,47.5,13,0.59,1125,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
67,42,36.64,13,229,0,1.6,48,0.35,724,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
68,61,99.99,8,88,0,1.1,24,0.19,640,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
69,72,101.05,9,228,0,73.5,36,0.22,639,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
70,52,84.6,17,26,0,80.8,20,0.25,630,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
71,72,111.68,13,360,0,20.4,43,0.07,1733,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
72,31,178.26,13,355,0,59.4,57,0.45,1770,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
73,66,97.41,14,237,0,21.6,65,0.46,1761,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
74,36,111.72,6,174,0,73.4,60,0.33,654,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
75,55,130.26,8,315,0,42.1,99,0.04,1506,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
76,53,194.44,14,291,0,82.3,43,0.3,692,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
77,24,131.13,13,60,0,94.9,84,0.12,1146,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
78,47,54.59,11,169,0,55.5,65,0.39,1130,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
79,36,123.09,6,262,0,90.1,46,0.29,1113,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
80,66,54.37,10,305,0,3.4,62,0.21,293,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
81,42,150.63,18,115,0,46.3,70,0.43,248,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
82,33,156.42,9,174,0,50.3,26,0.36,1401,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
83,64,37.09,9,220,0,41.6,29,0.08,1439,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
84,71,49.42,8,127,0,31.5,41,0.64,110,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
85,57,237.22,11,4,0,72.3,15,0.21,1481,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
86,68,76.59,13,325,0,50.95,19,0.15,1284,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
87,25,120.73,4,185,0,8.2,73,0.08,438,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
88,35,219.17,8,171,0,95.1,59,0.2,1143,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
89,45,76.65,9,198,0,88.8,81,0.27,428,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
90,33,97.19,7,230,0,35.3,96,0.1,982,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
91,69,19.7,6,287,0,24.6,28,0.12,193,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
92,36,92.98,7,334,0,62.8,15,0.04,1778,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
93,59,60.96,4,114,0,4.3,58,0.33,321,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
94,34,61.71,9,332,0,49.6,53,0.13,886,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
95,62,134.0,12,329,0,67.3,42,0.44,896,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
96,30,204.04,6,312,0,50.95,28,0.21,1584,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
97,24,62.08,9,10,0,97.2,73,0.41,590,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
98,44,130.01,9,103,0,71.9,91,0.29,1498,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
99,27,23.25,13,174,0,93.4,19,0.59,376,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
100,51,26.76,8,119,0,90.8,71,0.2,1038,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
101,53,158.27,9,236,0,50.95,89,0.19,589,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
102,42,41.29,12,235,0,66.9,94,0.22,616,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
103,23,68.94,21,304,0,59.7,77,0.17,494,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
104,41,49.73,5,37,0,5.5,2,0.11,1066,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
105,35,55.27,15,271,0,31.8,18,0.12,1097,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
106,40,134.3,5,343,0,53.5,40,0.28,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,23,98.85,13,250,0,54.8,53,0.12,19,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
108,46,315.61,9,333,0,81.4,8,0.47,764,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
109,79,133.8,10,26,0,58.8,84,0.22,375,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
110,42,78.32,5,329,0,46.7,9,0.47,223,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
111,72,98.36,12,122,0,75.2,77,0.36,686,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
112,34,86.75,15,155,0,57.1,21,0.12,1077,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
113,63,208.18,7,216,0,88.4,92,0.4,1651,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
114,41,54.39,10,193,0,90.5,44,0.14,1403,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
115,28,76.64,11,300,0,60.4,60,0.03,1743,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
116,43,173.31,13,160,0,56.4,71,0.22,1120,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
117,68,41.0,7,127,0,70.1,31,0.53,1180,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
118,79,28.69,14,315,0,72.6,87,0.2,519,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
119,51,76.18,12,177,0,72.7,13,0.19,453,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
120,45,88.83,6,125,0,62.1,45,0.33,573,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
121,20,69.65,6,173,0,76.3,2,0.12,483,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
122,28,28.98,8,34,0,14.4,34,0.56,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
123,55,97.97,15,238,0,82.1,69,0.06,1787,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
124,78,40.32,10,40,0,31.0,66,0.24,1382,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
125,31,54.71,10,185,0,88.6,62,0.25,872,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
126,68,35.44,11,182,0,13.2,47,0.09,1340,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
127,43,36.02,10,260,0,0.4,98,0.09,264,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
128,65,87.56,9,33,0,1.6,2,0.13,1069,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
129,38,128.87,7,186,0,21.0,84,0.22,1091,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
130,71,77.64,8,306,0,11.4,72,0.6,773,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
131,73,35.36,13,136,0,55.4,87,0.27,588,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
132,56,42.61,17,201,1,44.8,37,0.2,811,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
133,47,32.83,8,142,0,60.6,80,0.37,379,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
134,76,52.2,11,108,0,19.3,86,0.31,396,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
135,25,50.74,13,156,0,75.4,63,0.1,1476,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
136,68,93.19,11,254,0,61.0,56,0.17,519,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
137,37,98.89,11,180,0,22.1,46,0.18,1523,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
138,65,230.71,8,340,0,39.9,63,0.45,529,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
139,49,61.83,6,218,0,71.8,8,0.29,1177,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
140,39,53.62,9,27,0,68.0,55,0.19,464,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
141,76,83.46,15,150,0,56.2,43,0.18,76,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
142,24,97.4,7,358,0,97.9,90,0.41,1724,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
143,26,54.65,9,99,0,13.2,23,0.32,1667,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
144,62,134.02,7,2,1,48.8,16,0.16,1165,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
145,18,126.84,13,32,0,62.4,85,0.11,279,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
146,46,148.06,8,198,0,99.4,52,0.17,1186,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
147,25,96.92,12,68,0,54.3,93,0.25,719,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
148,73,55.76,6,89,0,44.2,54,0.22,1501,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
149,71,42.79,12,16,0,92.2,84,0.39,1442,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
150,21,71.68,9,336,0,50.6,76,0.15,1286,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
151,52,156.2,9,322,0,93.9,37,0.34,942,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
152,76,36.58,8,322,0,75.0,90,0.01,1179,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
153,20,81.56,9,33,0,16.8,67,0.28,1176,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
154,71,228.73,10,263,0,50.95,18,0.17,1618,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
155,62,93.19,7,300,0,31.8,59,0.13,1396,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
156,57,33.63,13,59,0,6.8,1,0.55,244,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
157,24,159.51,6,183,0,54.3,19,0.28,385,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
158,44,124.35,10,325,0,86.0,13,0.74,283,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
159,18,218.18,9,356,0,40.0,33,0.16,1670,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
160,44,153.58,10,364,0,64.8,94,0.51,1573,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
161,33,93.19,8,198,0,98.1,22,0.13,258,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
162,55,53.22,10,240,0,19.4,27,0.29,204,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
163,24,82.14,10,231,0,35.8,50,0.05,47,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
164,61,168.89,8,210,0,2.5,77,0.26,429,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
165,40,105.91,11,51,0,23.2,72,0.35,1041,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
166,58,211.42,10,118,0,77.9,53,0.09,106,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
167,76,49.17,5,329,0,65.7,60,0.36,1733,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
168,28,222.22,15,214,0,78.4,50,0.49,1198,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
169,59,55.13,9,321,0,42.5,66,0.24,1814,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
170,70,130.45,9,148,0,73.6,83,0.18,541,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
171,50,102.11,6,175,0,60.0,24,0.29,336,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
172,67,102.28,15,268,0,32.8,69,0.33,316,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173,53,122.19,10,319,0,41.2,8,0.26,171,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
174,54,15.61,11,4,0,54.1,20,0.2,199,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
175,58,85.36,11,115,0,95.6,99,0.13,973,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
176,76,55.0,8,202,0,50.95,66,0.16,150,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
177,34,89.23,9,36,0,50.95,70,0.26,1726,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
178,52,102.0,14,53,0,50.95,59,0.27,224,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
179,65,152.84,16,287,0,71.7,80,0.29,462,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
180,22,31.65,5,283,0,89.5,47,0.07,78,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
181,65,93.19,8,85,0,73.9,36,0.17,225,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
182,49,31.75,8,44,0,41.6,2,0.16,1311,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
183,20,148.5,7,283,0,72.5,64,0.52,1412,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
184,69,42.89,14,320,0,44.4,78,0.2,1146,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
185,64,84.23,8,69,0,71.4,38,0.48,1402,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
186,79,58.17,9,41,0,78.0,26,0.28,294,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
187,52,27.6,10,271,0,84.3,20,0.17,916,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
188,69,145.31,2,140,0,72.8,93,0.49,215,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
189,31,98.73,12,58,0,16.0,4,0.23,629,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
190,65,111.09,17,239,0,93.6,84,0.3,22,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
191,78,52.81,12,46,0,21.3,88,0.39,1216,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
192,78,75.55,11,166,0,35.8,65,0.25,494,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
193,48,96.48,16,109,0,42.9,89,0.16,352,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
194,48,28.12,12,125,0,71.2,14,0.32,1556,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
195,34,27.66,14,298,0,70.1,35,0.34,1187,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
196,77,126.31,15,108,0,96.2,85,0.08,1590,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
197,41,16.18,7,164,0,18.9,52,0.48,696,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
198,69,112.24,8,258,0,50.95,23,0.29,1384,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
199,40,19.14,18,75,0,20.4,20,0.21,543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,35,131.7,14,6,0,67.3,90,0.38,1182,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
201,67,109.97,8,185,0,50.95,27,0.43,521,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
202,71,31.8,11,275,0,86.8,41,0.08,987,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
203,31,96.67,15,78,0,98.3,78,0.06,638,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
204,67,93.19,7,64,0,50.95,36,0.6,797,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
205,32,56.13,7,114,0,73.9,4,0.06,899,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
206,32,66.49,17,201,0,53.3,26,0.08,451,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
207,23,61.8,10,141,0,35.9,40,0.28,1714,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
208,44,52.83,14,97,0,19.1,80,0.14,1048,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
209,32,131.28,5,304,0,71.9,84,0.47,270,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
210,67,131.12,10,216,0,15.9,88,0.18,163,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
211,53,32.96,12,73,0,28.1,74,0.31,1065,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
212,72,190.31,7,292,0,92.0,66,0.4,1049,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
213,25,80.75,9,133,0,50.8,73,0.17,1634,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
214,32,114.79,11,261,1,85.4,82,0.15,925,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
215,20,322.28,14,283,0,76.8,94,0.37,1477,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
216,79,77.2,15,101,0,37.6,3,0.05,810,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
217,64,93.19,5,205,0,21.8,64,0.27,1350,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
218,30,66.97,12,140,0,10.0,29,0.13,327,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
219,58,30.4,14,12,0,96.1,54,0.43,997,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
220,51,93.19,10,248,0,32.5,7,0.35,673,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
221,41,62.79,8,122,0,67.3,25,0.47,982,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
222,57,14.19,9,9,1,73.0,24,0.22,1594,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
223,49,47.73,15,79,0,19.8,43,0.4,1182,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
224,78,37.92,16,166,0,69.4,6,0.33,186,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
225,49,60.03,9,98,0,0.9,15,0.23,111,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
226,47,38.5,15,206,0,41.8,79,0.46,863,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
227,69,158.74,11,150,0,35.0,40,0.28,391,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
228,66,69.45,10,36,0,93.3,91,0.28,1328,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
229,30,45.46,8,263,0,98.6,61,0.08,1432,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
230,18,167.25,15,341,0,28.8,21,0.03,965,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
231,51,119.76,14,4,0,61.0,58,0.45,1770,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
232,79,58.5,20,225,0,74.5,96,0.3,16,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
233,32,35.83,11,26,0,19.1,32,0.42,1038,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
234,61,216.57,13,123,0,68.7,12,0.41,1024,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
235,31,70.17,9,298,0,25.8,9,0.22,1692,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
236,74,124.26,8,34,0,16.9,20,0.16,643,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
237,46,148.82,9,236,0,85.1,15,0.22,885,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
238,51,352.1,5,310,0,50.2,77,0.49,1081,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
239,35,67.23,14,316,0,29.7,8,0.13,1412,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
240,71,61.31,11,302,0,40.5,21,0.28,429,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
241,24,93.19,6,101,0,41.3,45,0.26,1784,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
